Spectral Response Function Corners, trapezoid
Temperature: Celsius; Spectral Radiance: mW/[m^2 sr micrometer]; Wavelength: micrometer
lambda1:Response 1.0; lambda2:Response 1.0; lambda2:Response 0.0
lambda1: 8.00, lambda2:14.80, lambda3:19.80
TC,L
99.400,25279.370
99.500,25308.110
99.600,25336.870
99.700,25365.660
99.800,25394.450
99.900,25423.270
100.000,25452.110
100.100,25480.960
100.200,25509.830
100.300,25538.720
100.400,25567.630
100.500,25596.560
100.600,25625.510
100.700,25654.470
100.800,25683.460
100.900,25712.460
101.000,25741.480
101.100,25770.520
101.200,25799.570
101.300,25828.650
101.400,25857.740
101.500,25886.860
101.600,25915.990
101.700,25945.140
101.800,25974.300
101.900,26003.490
102.000,26032.700
102.100,26061.920
102.200,26091.160
102.300,26120.420
102.400,26149.700
102.500,26179.000
102.600,26208.310
102.700,26237.650
102.800,26267.000
102.900,26296.370
103.000,26325.760
103.100,26355.170
103.200,26384.590
103.300,26414.040
103.400,26443.500
103.500,26472.980
103.600,26502.480
103.700,26532.000
103.800,26561.540
103.900,26591.090
104.000,26620.670
104.100,26650.260
104.200,26679.870
104.300,26709.500
104.400,26739.150
104.500,26768.810
104.600,26798.500
104.700,26828.200
104.800,26857.920
104.900,26887.660
105.000,26917.420
105.100,26947.200
105.200,26976.990
105.300,27006.810
105.400,27036.640
105.500,27066.490
105.600,27096.360
105.700,27126.250
105.800,27156.150
105.900,27186.080
106.000,27216.020
106.100,27245.980
106.200,27275.960
106.300,27305.960
106.400,27335.970
106.500,27366.010
106.600,27396.060
106.700,27426.130
106.800,27456.220
106.900,27486.330
107.000,27516.460
107.100,27546.600
107.200,27576.770
107.300,27606.950
107.400,27637.150
107.500,27667.370
107.600,27697.610
107.700,27727.860
107.800,27758.140
107.900,27788.430
108.000,27818.740
108.100,27849.070
108.200,27879.420
108.300,27909.790
108.400,27940.170
108.500,27970.570
108.600,28001.000
108.700,28031.440
108.800,28061.890
108.900,28092.370
109.000,28122.870
109.100,28153.380
109.200,28183.910
109.300,28214.460
109.400,28245.030
109.500,28275.620
109.600,28306.230
109.700,28336.850
109.800,28367.490
109.900,28398.150
110.000,28428.830
